id,Colonia,Delitos,latitude,longitude
231,BARRIO TULA,6,19.3362228677587,-99.1130824161214
232,BARRIO XALTOCAN,171,19.2553551993006,-99.1051344995594
233,BARROS SIERRA,39,19.3179578904043,-99.2440972694605
234,BATALLÓN DE SAN PATRICIO,4,19.37205121,-99.20622913
235,BEJERO DEL PUEBLO SANTA FE,12,19.3817097156344,-99.2455234710709
236,BELÉM DE LAS FLORES,30,19.3560178282893,-99.2338371482917
237,BELEN DE LAS FLORES SECCION CUCHILLA,1,19.39778021,-99.21287815
238,BELISARIO DOMÍNGUEZ,14,19.30712146,-99.13262418
239,BELISARIO DOMÍNGUEZ SECCIÓN XVI,115,19.2881014,-99.1560959
240,BELLAVISTA,116,19.3965556967766,-99.1938787713546
241,BELVEDERE AJUSCO,11,19.270502481916,-99.2266374226765
242,BENITO JUAREZ,23,19.47449129,-99.17728531
243,BENITO JUÁREZ,22,19.5318557527819,-99.1410372330133
244,BENITO JUAREZ I,30,19.316725438254,-99.0862574068203
245,BONANZA,12,19.3857256200302,-99.215281149711
246,BONDOJITO,70,19.4634366987047,-99.1078412997118
247,BOSCOSO,1,19.3870986933372,-99.2220188542852
248,BOSQUE,3,19.392747126148,-99.1971563516907
249,BOSQUE DE CHAPULTEPEC I SECCIÓN,118,19.4237885756601,-99.1804891490776
250,BOSQUE DE CHAPULTEPEC II SECCIÓN,48,19.4170771337299,-99.2009588559036
251,BOSQUE DE CHAPULTEPEC III SECCIÓN,12,19.4031402992751,-99.2074451002047
252,BOSQUE DE LAS LOMAS,77,19.3946160956187,-99.2492027999505
253,BOSQUE RESIDENCIAL DEL SUR,18,19.282591730362,-99.1287561046405
254,BOSQUES 2A SECCION,5,19.3906374439061,-99.2011810367183
255,BOSQUES DE LAS LOMAS,49,19.3907989974441,-99.2557557999764
256,BOSQUES DE TARANGO,10,19.3512157020136,-99.2488553001994
257,BOSQUES DE TETLAMEYA,17,19.2972259980057,-99.1551494003954
258,BOSQUES DEL PEDREGAL,24,19.2704352219356,-99.2392233781421
259,BUENAVISTA,1075,19.4461271958774,-99.1521272321284
260,BUENOS AIRES,109,19.40481077,-99.15525409
261,C.T.M. ARAGÓN,30,19.4535271034074,-99.0560663003315
262,C.T.M. ATZACOALCO,79,19.5091912604504,-99.1066053345615
263,C.T.M. EL RISCO,85,19.5085999,-99.0921752
264,CABEZA DE JUAREZ IX,16,19.3765106028404,-99.0522549001965
265,CABEZA DE JUAREZ SECCION VI,15,19.3738465935367,-99.0585454993816
266,CABEZA DE JUAREZ VII,12,19.3724560012975,-99.0551688001922
267,CABEZA DE JUAREZ VIII,9,19.3741248370017,-99.0526499782744
268,CABEZA DE JUAREZ X,12,19.377840195401,-99.0493223002265
269,CACAMA,43,19.3593216960347,-99.1286332997989
270,CAFETALES,35,19.3128149601248,-99.110362154936
271,CALTONGO,71,19.25770481,-99.07900955
272,CALZADA JALALPA,21,19.3823942982125,-99.2246676002489
273,CAMINO REAL DE TETELPAN,5,19.3440339351038,-99.2177664003238
274,CAMISETAS - BARRIO,4,19.2886747004889,-99.1791866995882
275,CAMPAMENTO 2 DE OCTUBRE,227,19.3850371912166,-99.1168648523396
276,CAMPAMENTO LA ESMERALDA,1,19.4870124982626,-99.0876083004279
277,CAMPESTRE,35,19.3551613142995,-99.194193662718
278,CAMPESTRE ARAGÓN,159,19.4899881296727,-99.0737792099098
279,CAMPESTRE CHURUBUSCO,166,19.3408779012669,-99.1358933003018
280,CAMPESTRE COYOACÁN,41,19.3016230241302,-99.1175043003584
281,CAÑADA,18,19.3830657039873,-99.2250762000785
282,CANTAROS,2,19.2643813302051,-99.1260773459988
283,CANTERA,4,19.2793129972118,-99.1842558002749
284,CANTERA PUENTE DE PIEDRA,32,19.2973378,-99.1661581
285,CANUTILLO,6,19.3608518,-99.23006111
286,CANUTILLO 3A SECCIÓN,3,19.363657,-99.2274515
287,CAPULTITLAN,59,19.47737731,-99.13278852
288,CARACOL,52,19.426122401551,-99.0727844001426
289,CARLOS A. MADRAZO,12,19.3787909327056,-99.2518878003241
290,CARLOS HANK GONZALEZ,46,19.3332854112917,-99.04984606399
291,CARLOS ZAPATA VELA,88,19.38420958,-99.09422554
292,CARMEN SERDÁN,59,19.320875984514,-99.1120139183449
293,CASA BLANCA,36,19.332843298112,-99.0693299997195
294,CASA LA SALLE,1,19.3659779032593,-99.2429077002554
295,CASTILLO CHICO,21,19.5431846000692,-99.1358414997438
296,CASTILLO GRANDE,27,19.5411912853836,-99.1363505029169
297,CEDROS SANTA LUCIA,2,19.3640648974776,-99.2385314996154
298,CEHUAYA,2,19.3590275393339,-99.243213797295
299,CENTRAL CAMIONERA PONIENTE,25,19.39498345,-99.19937111
300,CENTRAL DE ABASTO,680,19.3740277017661,-99.0906285996247
301,CENTRAL DE AUTOBUSES DEL SUR TAXQUEÑA,59,19.3414123234449,-99.1390330032732
302,CENTRO,3491,19.4368955375326,-99.1401471198264
303,CENTRO COMERCIAL PERISUR,115,19.3026593350666,-99.1902126802178
304,CENTRO DE AZCAPOTZALCO,235,19.48015804,-99.18659747
305,CENTRO URBANO BENITO JUÁREZ,41,19.4073996,-99.1571281
306,CENTRO URBANO PRESIDENTE MIGUEL ALEMÁN,8,19.36966395,-99.17152602
307,CERRILLOS PRIMERA SECCIÓN,13,19.2477471572282,-99.0193246212938
308,CERRILLOS SEGUNDA SECCIÓN,13,19.2442310793794,-99.0147256112176
309,CERRILLOS TERCERA SECCIÓN,20,19.2489646614316,-99.0235804844508
310,CERRO DE LA ESTRELLA,190,19.3291970345395,-99.0823216240421
311,CHALMA DE GUADALUPE,97,19.5536723968528,-99.1515950996061
312,CHICHICASPATL,11,19.2732433008257,-99.2441512055944
313,CHIMALCOYOTL,55,19.2742711841534,-99.1693296356457
314,CHIMALISTAC,75,19.3426435029917,-99.1892458998509
315,CHIMALLI,7,19.2930538610273,-99.1456669115598
316,CHIMILLI,23,19.2694216032964,-99.2148647004134
317,CHINAMPAC DE JUÁREZ,390,19.3760514991315,-99.0451250326652
318,CHURUBUSCO COUNTRY CLUB,67,19.3533710990831,-99.1439632996474
